gameid,year,date,league,split,playoffs,game,position,playername,teamname,teamid,result
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,top,Kiin,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,jng,Canyon,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,mid,Chovy,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,bot,Peyz,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25093,2024,2024-01-20,LCK,Spring,0,1,sup,Lehends,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,top,Kiin,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,jng,Canyon,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,mid,Chovy,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,bot,Peyz,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,sup,Lehends,Gen.G,oe:team:50f58982d91a36557ec8aec52ab014f,1
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,top,DnDn,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,jng,Sylvie,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,mid,Callme,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,bot,Jiwoo,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_25120,2024,2024-01-20,LCK,Spring,0,2,sup,Peter,Nongshim RedForce,oe:team:5cd2cd09ec94296f605dd13a2924d6c,0
LOLTMNT02_26436,2024,2024-01-21,LCK,Spring,0,1,top,Doran,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_26436,2024,2024-01-21,LCK,Spring,0,1,jng,Peanut,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_26436,2024,2024-01-21,LCK,Spring,0,1,mid,Zeka,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_26436,2024,2024-01-21,LCK,Spring,0,1,bot,Viper,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_26436,2024,2024-01-21,LCK,Spring,0,1,sup,Delight,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
